aaa	Acidovorax avenae
fpm	Francisella philomiragia O#319-036
fpo	Flavobacterium psychrophilum FPG3
fpp	Frischella perrara
fpq	Flavobacterium psychrophilum 950106-1/1
fpr	Faecalibacterium prausnitzii L2-6
fps	Flavobacterium psychrophilum JIP02/86
fpu	Fusarium pseudograminearum
fpv	Flavobacterium psychrophilum V3-5
fpw	Flavobacterium psychrophilum V4-24
fpx	Francisella philomiragia O#319-067
fpy	Flavobacterium psychrophilum FPG101
fpz	Francisella philomiragia GA01-2794
fra	Frankia sp. CcI3
fre	Frankia sp. EAN1pec
frf	Francisella sp. FSC1006
fri	Frankia sp. EuI1c
frt	Francisella sp. TX077308
fsc	Fibrobacter succinogenes
fsi	Flexistipes sinusarabici
fsu	Fibrobacter succinogenes
fsy	Frankia symbiont
fta	Francisella tularensis subsp. holarctica FTNF002-00
fte	Fluviicola taffensis
ftf	Francisella tularensis subsp. tularensis FSC198
ftg	Francisella tularensis TIGB03
fth	Francisella tularensis subsp. holarctica OSU18
fti	Francisella tularensis subsp. holarctica FSC200
ftl	Francisella tularensis subsp. holarctica LVS
ftm	Francisella tularensis subsp. mediasiatica FSC147
ftn	Francisella tularensis subsp. novicida
fto	Francisella tularensis subsp. holarctica PHIT-FT049
ftr	Francisella tularensis subsp. tularensis NE061598
fts	Francisella tularensis subsp. holarctica F92
ftt	Francisella tularensis subsp. tularensis TI0902
ftu	Francisella tularensis subsp. tularensis SCHU S4
ftw	Francisella tularensis subsp. tularensis WY96-3418
fus	Fusobacterium nucleatum subsp. animalis 4_8
fve	Fragaria vesca (woodland strawberry)
gac	Geoglobus acetivorans
gag	Glaciecola sp. 4H-3-7+YE-5
gan	Gallibacterium anatis
gap	Gilliamella apicola
gau	Gemmatimonas aurantiaca
gba	Gemmatimonadetes bacterium KBS708
gbc	Granulibacter bethesdensis CGDNIH3
gbe	Granulibacter bethesdensis CGDNIH1
gbh	Granulibacter bethesdensis CGDNIH2
gbm	Geobacter bemidjiensis
gbr	Gordonia bronchialis
gbs	Granulibacter bethesdensis CGDNIH4
gca	Gallionella capsiferriformans
gct	Geobacillus sp. C56-T3
gdi	Gluconacetobacter diazotrophicus PAl 5 (Brazil)
gdj	Gluconacetobacter diazotrophicus PA1 5 (JGI)
geb	Geobacter sp. M18
gei	Geitlerinema sp. PCC 7407
gem	Geobacter sp. M21
geo	Geobacter daltonii FRC-32
gfo	Gramella forsetii
gga	Gallus gallus (chicken)
ggh	Geobacillus sp. GHH01
ggo	Gorilla gorilla gorilla (western lowland gorilla)
gjf	Geobacillus sp. JF8
gka	Geobacillus kaustophilus
gla	Giardia lamblia
glj	Gloeobacter kilaueensis
glo	Geobacter lovleyi
glp	Gloeocapsa sp. PCC 7428
gma	Granulicella mallensis
gmc	Geobacillus sp. Y4.1MC1
gme	Geobacter metallireducens
gmx	Glycine max (soybean)
gni	Glaciecola nitratireducens
gob	Geodermatophilus obscurus
goh	Gluconobacter oxydans H24
gor	Gordonia sp. KTR9
gox	Gluconobacter oxydans 621H
goy	Gluconobacter oxydans DSM 3504
gpa	Gordonibacter pamelaeae
gpb	Gamma proteobacterium HdN1
gpi	Geobacter pickeringii
gpo	Gordonia polyisoprenivorans
gps	Glaciecola psychrophila
gsb	Geoalkalibacter subterraneus
gsk	Geobacter sulfurreducens KN400
gsl	Galdieria sulphuraria
gsn	Gynuella sunshinyii
gst	Bacillus sp. X1(2014)
gsu	Geobacter sulfurreducens PCA
gte	Geobacillus thermoleovorans
gth	Geobacillus thermoglucosidasius
gtn	Geobacillus thermodenitrificans
gtr	Gloeophyllum trabeum
gtt	Guillardia theta
gur	Geobacter uraniireducens
gva	Gardnerella vaginalis 409-05
gvg	Gardnerella vaginalis ATCC 14019
gvh	Gardnerella vaginalis HMP9231
gvi	Gloeobacter violaceus
gwc	Geobacillus sp. WCH70
gxl	Gluconacetobacter xylinus E25
gxy	Gluconacetobacter medellinensis NBRC 3288
gya	Geobacillus sp. Y412MC52
gyc	Geobacillus sp. Y412MC61
gym	Paenibacillus sp. Y412MC10
hab	Haloarcula sp. CBA1115
hac	Helicobacter acinonychis
hah	Halophilic archaeon
hal	Halobacterium sp. NRC-1
hao	Halothece sp. PCC 7418
hap	Haemophilus parasuis SH0165
har	Herminiimonas arsenicoxydans
has	Halanaerobium hydrogeniformans
hau	Herpetosiphon aurantiacus
hav	Hafnia alvei
hba	Hirschia baltica
hbi	Helicobacter bizzozeronii
hbo	Halogeometricum borinquense
hbu	Hyperthermus butylicus
hca	Helicobacter pylori PeCan18
hcb	Helicobacter cinaedi ATCC BAA-847
hcc	Candidatus Hodgkinia cicadicola TETUND1
hcd	Candidatus Hodgkinia cicadicola TETUND2
hce	Helicobacter cetorum MIT 00-7128
hch	Hahella chejuensis
hci	Candidatus Hodgkinia cicadicola Dsem
hcm	Helicobacter cetorum MIT 99-5656
hcn	Helicobacter pylori HUP-B14
hcp	Helicobacter cinaedi PAGU611
hcr	Candidatus Hepatoplasma crinochetorum
hcs	Halomonas campaniensis
hct	Candidatus Hodgkinia cicadicola TETULN
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
hdn	Hyphomicrobium denitrificans ATCC 51888
hdt	Hyphomicrobium denitrificans 1NES1
hdu	Haemophilus ducreyi
heb	Helicobacter pylori BM012A
hef	Helicobacter pylori F16
heg	Helicobacter pylori Gambia94/24
hei	Helicobacter pylori Rif2
hel	Halomonas elongata
hem	Helicobacter pylori UM298
hen	Helicobacter pylori SNT49
heo	Helicobacter pylori 26695
hep	Helicobacter pylori Puno120
heq	Helicobacter pylori F32
her	Helicobacter pylori Rif1
hes	Helicobacter pylori SouthAfrica7
heu	Helicobacter pylori Puno135
hex	Helicobacter pylori F57
hey	Helicobacter pylori XZ274
hez	Helicobacter pylori BM012S
hfe	Helicobacter felis
hgl	Heterocephalus glaber (naked mole rat)
hha	Halorhodospira halophila
hhc	Halorhodospira halochloris
hhd	Halobacillus halophilus
hhe	Helicobacter hepaticus
hhi	Haloarcula hispanica ATCC 33960
hhl	Halobacteroides halobius
hhm	Helicobacter heilmannii
hhn	Haloarcula hispanica N601
hho	Hydrogenobaculum sp. HO
hhp	Helicobacter pylori Shi112
hhq	Helicobacter pylori Shi169
hhr	Helicobacter pylori Shi417
hhs	Candidatus Pantoea carbekii
hhy	Haliscomenobacter hydrossis
hia	Haemophilus influenzae CGSHiCZ412602
hie	Haemophilus influenzae R2846 (nontypeable)
hif	Haemophilus influenzae F3031 (nontypeable)
hih	Haemophilus influenzae Hi375
hik	Haemophilus influenzae KR494 (serotype f)
hil	Haemophilus influenzae F3047 (nontypeable)
hin	Haemophilus influenzae Rd KW20 (serotype d)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hir	Heterobasidion irregulare
hit	Haemophilus influenzae 86-028NP (nontypeable)
hiu	Haemophilus influenzae 10810 (serotype b)
hiz	Haemophilus influenzae R2866 (nontypeable)
hje	Halalkalicoccus jeotgali
hla	Halorubrum lacusprofundi
hlr	Halostagnicola larsenii
hma	Haloarcula marismortui
hmc	Hyphomicrobium sp. MC1
hme	Haloferax mediterranei
hmg	Hydra vulgaris
hmo	Heliobacterium modesticaldum
hmr	Hippea maritima
hms	Helicobacter mustelae
hmu	Halomicrobium mukohataei
hna	Halothiobacillus neapolitanus
hne	Hyphomonas neptunium
hni	Hyphomicrobium nitrativorans
hoh	Haliangium ochraceum
hor	Halothermothrix orenii
hpa	Helicobacter pylori HPAG1
hpak	Haemophilus parasuis KL0318
hpas	Haemophilus parasuis SH03
hpaz	Haemophilus parasuis ZJ0906
hpb	Helicobacter pylori B38
hpc	Helicobacter pylori PeCan4
hpd	Helicobacter pylori 51
hpe	Helicobacter pylori ELS37
hpf	Helicobacter pylori F30
hpg	Helicobacter pylori G27
hph	Helicobacter pylori Lithuania75
hpi	Helicobacter pylori 908
hpj	Helicobacter pylori J99
hpk	Halanaerobium praevalens
hpl	Helicobacter pylori B8
hpm	Helicobacter pylori SJM180
hpn	Helicobacter pylori India7
hpo	Helicobacter pylori 35A
hpp	Helicobacter pylori P12
hpq	Helicobacter pylori 2017
hpr	Haemophilus parainfluenzae
hps	Helicobacter pylori Shi470
hpt	Helicobacter pylori Sat464
hpu	Helicobacter pylori Cuz20
hpv	Helicobacter pylori v225d
hpw	Helicobacter pylori 2018
hpx	Helicobacter pylori 83
hpy	Helicobacter pylori 26695
hpya	Helicobacter pylori Aklavik117
hpyb	Helicobacter pylori oki102
hpyi	Helicobacter pylori UM037
hpyk	Helicobacter pylori Aklavik86
hpyl	Helicobacter pylori OK310
hpym	Helicobacter pylori UM299
hpyo	Helicobacter pylori OK113
hpyr	Helicobacter pylori UM032
hpys	Helicobacter pylori SouthAfrica20
hpyu	Helicobacter pylori UM066
hpz	Helicobacter pylori 52
hro	Helobdella robusta
hru	Halovivax ruber
hsa	Homo sapiens (human)
hse	Herbaspirillum seropedicae
hsl	Halobacterium salinarum
hsm	Haemophilus somnus 2336
hso	Haemophilus somnus 129PT
hsw	Hymenobacter swuensis
hte	Hydrogenobacter thermophilus
hth	Hydrogenobacter thermophilus
hti	Halorhabdus tiamatea
htu	Haloterrigena turkmenica
hut	Halorhabdus utahensis
hvo	Haloferax volcanii
hwa	Haloquadratum walsbyi DSM 16790
hwc	Haloquadratum walsbyi C23
hxa	Halopiger xanaduensis
hya	Hydrogenobaculum sp. Y04AAS1
hyd	Hymenobacter sp. DG25B
hym	Hymenobacter sp. APR13
hys	Hydrogenobaculum sp. SN
iag	Ignisphaera aggregans
ial	Ignavibacterium album
ica	Intrasporangium calvum
iho	Ignicoccus hospitalis
ili	Idiomarina loihiensis GSL 199
ilo	Idiomarina loihiensis L2TR
ipa	Isosphaera pallida
ipo	Ilyobacter polytropus
isc	Ixodes scapularis (black-legged tick)
iva	Isoptericola variabilis
jag	Janthinobacterium agaricidamnosum
jan	Jannaschia sp. CCS1
jde	Jonesia denitrificans
jeo	Jeotgalibacillus sp. D5
kaf	Kazachstania africana
kal	Kutzneria albida
kbl	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
kbt	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
kci	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
kcr	Candidatus Korarchaeum cryptofilum
kct	Candidatus Kinetoplastibacterium crithidii TCC036E
kde	Candidatus Kinetoplastibacterium desouzaii
kdi	Dokdonia sp. 4H-3-7-5
kfl	Kribbella flavida
kga	Candidatus Kinetoplastibacterium galatii
kko	Kangiella koreensis
kla	Kluyveromyces lactis
kln	Pantoea rwandensis
koe	Klebsiella oxytoca E718
kok	Klebsiella oxytoca KONIH1
kol	Kosmotoga olearia
kom	Klebsiella oxytoca M1
kon	Candidatus Kinetoplastibacterium oncopeltii
kox	Klebsiella oxytoca KCTC 1686
koy	Klebsiella oxytoca HKOPL1
kpa	Klebsiella pneumoniae 30660/NJST258_1
kpb	Klebsiella pneumoniae blaNDM-1
kpe	Klebsiella pneumoniae 342
kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpi	Klebsiella pneumoniae CG43
kpj	Klebsiella pneumoniae JM45
kpk	Klebsiella pneumoniae subsp. pneumoniae KP5-1
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
kpo	Klebsiella pneumoniae KCTC 2242
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpr	Klebsiella pneumoniae
kps	Klebsiella pneumoniae 30684/NJST258_2
kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
kpx	Klebsiella pneumoniae PMK1
kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kra	Kineococcus radiotolerans
krh	Kocuria rhizophila
ksa	Kosakonia sacchari
kse	Kytococcus sedentarius
ksk	Kitasatospora setae
kva	Klebsiella variicola At-22
kvd	Klebsiella variicola DX120E
kvl	Ketogulonicigenium vulgare WSH-001
kvq	Klebsiella variicola DSM 15968
kvu	Ketogulonicigenium vulgare Y25
laa	Candidatus Liberibacter asiaticus gxpsy
lac	Lactobacillus acidophilus NCFM
lad	Lactobacillus acidophilus La-14
laf	Lactobacillus acidophilus FSI4
lag	Vibrio anguillarum M3
lai	Lactobacillus acidophilus 30SC
lam	Lactobacillus amylovorus GRL 1112
lan	Lacinutrix sp. 5H-3-7-4
lar	Candidatus Liberibacter americanus
las	Candidatus Liberibacter asiaticus psy62
lat	Candidatus Liberibacter asiaticus Ishi-1
law	Lactobacillus sp. wkB8
lay	Lactobacillus amylovorus GRL1118
lba	Leptotrichia buccalis
lbc	Laccaria bicolor
lbf	Leptospira biflexa serovar Patoc Patoc 1 (Ames)
lbh	Lactobacillus buchneri NRRL B-30929
lbi	Leptospira biflexa serovar Patoc Patoc 1 (Paris)
lbj	Leptospira borgpetersenii JB197
lbk	Lactobacillus brevis KB290
lbl	Leptospira borgpetersenii L550
lbn	Lactobacillus buchneri CD034
lbr	Lactobacillus brevis ATCC 367
lbu	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
lby	Leadbetterella byssophila
lbz	Leishmania braziliensis
lca	Lactobacillus casei ATCC 334
lcb	Lactobacillus casei BL23
lcc	Liberibacter crescens
lce	Lactobacillus casei LC2W
lch	Leptothrix cholodnii
lci	Leuconostoc citreum
lcl	Lactobacillus casei LOCK919
lcm	Latimeria chalumnae (coelacanth)
lcn	Leuconostoc carnosum
lcr	Lactobacillus crispatus
lcs	Lactobacillus casei BD-II
lcw	Lactobacillus casei W56
lcx	Lactobacillus casei 12A
lcz	Lactobacillus casei Zhang
ldb	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
lde	Lactobacillus delbrueckii subsp. bulgaricus ND02
ldl	Lactobacillus delbrueckii subsp. bulgaricus 2038
ldo	Leishmania donovani
lec	Leuconostoc sp. C2
lel	Lodderomyces elongisporus
lep	Leptolyngbya sp. PCC 7376
lfc	Leptospirillum ferrooxidans
lfe	Lactobacillus fermentum IFO 3956
lff	Lactobacillus fermentum F-6
lfi	Leptospirillum ferriphilum ML-04
lfp	Leptospirillum ferriphilum YSK
lfr	Lactobacillus fermentum CECT 5716
lfu	Lysinibacillus fusiformis
lga	Lactobacillus gasseri ATCC 33323
lge	Leuconostoc gelidum
lgi	Lottia gigantea (owl limpet)
lgq	Lactobacillus gasseri 130918
lgr	Lactococcus garvieae ATCC 49156
lgs	Leuconostoc gasicomitatum
lgv	Lactococcus garvieae Lg2
lgy	Lysinibacillus sp. GY32
lhe	Lactobacillus helveticus DPC 4571
lhh	Lactobacillus helveticus H9
lhk	Laribacter hongkongensis
lhl	Lactobacillus helveticus H10
lho	Lactobacillus hokkaidonensis
lhr	Lactobacillus helveticus R0052
lhv	Lactobacillus helveticus CNRZ32
lia	Listeria ivanovii subsp. londoniensis WSLC 30167
lic	Leptospira interrogans serovar Copenhageni
lie	Leptospira interrogans serovar Lai IPAV
lif	Leishmania infantum
lii	Listeria ivanovii subsp. ivanovii WSLC 3010
lil	Leptospira interrogans serovar Lai 56601
lin	Listeria innocua
lio	Listeria ivanovii subsp. londoniensis WSLC 30151
lip	Lawsonia intracellularis PHE/MN1-00
lir	Lawsonia intracellularis N343
liv	Listeria ivanovii subsp. ivanovii PAM 55
liw	Listeria ivanovii WSLC3009
ljf	Lactobacillus johnsonii FI9785
ljh	Lactobacillus johnsonii DPC 6026
ljn	Lactobacillus johnsonii N6.2
ljo	Lactobacillus johnsonii NCC 533
lke	Lactobacillus kefiranofaciens
lki	Leuconostoc kimchii
lla	Lactococcus lactis subsp. lactis Il1403
llc	Lactococcus lactis subsp. cremoris SK11
lld	Lactococcus lactis subsp. lactis KLDS 4.0325
lli	Lactococcus lactis subsp. cremoris UC509.9
llj	Lactococcus lactis AI06
llk	Lactococcus lactis subsp. lactis KF147
llm	Lactococcus lactis subsp. cremoris MG1363
lln	Lactococcus lactis subsp. cremoris NZ9000
llo	Legionella longbeachae
llr	Lactococcus lactis subsp. cremoris A76
lls	Lactococcus lactis subsp. lactis IO-1
llt	Lactococcus lactis subsp. lactis CV56
llw	Lactococcus lactis subsp. cremoris KW2
llx	Lactococcus lactis subsp. lactis NCDO 2118
lma	Leishmania major
lmc	Listeria monocytogenes Clip81459
lmd	Leisingera methylohalidivorans
lme	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
lmf	Listeria monocytogenes F2365
lmg	Listeria monocytogenes FSL R2-561
lmh	Listeria monocytogenes HCC23
lmi	Leishmania mexicana
lmj	Listeria monocytogenes J0161
lmk	Leuconostoc mesenteroides KFRI-MG
lml	Listeria monocytogenes L99
lmm	Leuconostoc mesenteroides subsp. mesenteroides J18
lmn	Listeria monocytogenes 08-5578
lmo	Listeria monocytogenes EGD-e
lmoa	Listeria monocytogenes ATCC 19117
lmob	Listeria monocytogenes N53-1
lmoc	Listeria monocytogenes SLCC5850
lmod	Listeria monocytogenes EGD
lmoe	Listeria monocytogenes La111
lmog	Listeria monocytogenes serotype 4b LL195
lmoj	Listeria monocytogenes J1-220
lmok	Listeria monocytogenes NE dc2014
lmol	Listeria monocytogenes L312
lmom	Listeria monocytogenes Lm60
lmon	Listeria monocytogenes SLCC2376
lmoo	Listeria monocytogenes SLCC2378
lmoq	Listeria monocytogenes 6179
lmos	Listeria monocytogenes SLCC7179
lmot	Listeria monocytogenes SLCC2540
lmow	Listeria monocytogenes WSLC1001
lmox	Listeria monocytogenes WSLC1042
lmoy	Listeria monocytogenes SLCC2479
lmoz	Listeria monocytogenes J1816
lmp	Listeria monocytogenes 07PF0776
lmq	Listeria monocytogenes M7
lmr	Listeria monocytogenes R479a
lms	Listeria monocytogenes Finland 1998
lmt	Listeria monocytogenes 10403S
lmv	Listeria monocytogenes CFSAN006122
lmw	Listeria monocytogenes SLCC2755
lmx	Listeria monocytogenes SLCC2372
lmy	Listeria monocytogenes 08-5923
lmz	Listeria monocytogenes serotype 7 SLCC2482
loa	Loa loa (eye worm)
lpa	Legionella pneumophila 2300/99 Alcoy
lpb	Lactobacillus plantarum B21
lpc	Legionella pneumophila Corby
lpe	Legionella pneumophila subsp. pneumophila ATCC 43290
lpf	Legionella pneumophila Lens
lph	Legionella pneumophila subsp. pneumophila HL06041035
lpi	Lactobacillus paracasei subsp. paracasei 8700:2
lpj	Lactobacillus plantarum JDM1
lpl	Lactobacillus plantarum WCFS1
lpm	Legionella pneumophila subsp. pneumophila Thunder Bay
lpn	Legionella pneumophila subsp. pneumophila Philadelphia 1
lpo	Legionella pneumophila subsp. pneumophila Lorraine
lpp	Legionella pneumophila Paris
lpq	Lactobacillus paracasei N1115
lpr	Lactobacillus plantarum subsp. plantarum P-8
lps	Lactobacillus plantarum subsp. plantarum ST-III
lpt	Lactobacillus plantarum ZJ316
lpu	Legionella pneumophila subsp. pneumophila LPE509
lpz	Lactobacillus plantarum 16
lra	Lactobacillus rhamnosus ATCC 8530
lrc	Lactobacillus rhamnosus LOCK908
lre	Lactobacillus reuteri DSM 20016
lrf	Lactobacillus reuteri JCM 1112
lrg	Lactobacillus rhamnosus GG
lrh	Lactobacillus rhamnosus GG
lrl	Lactobacillus rhamnosus Lc 705
lrm	Lactobacillus ruminis
lro	Lactobacillus rhamnosus LOCK900
lrr	Lactobacillus reuteri TD1
lrt	Lactobacillus reuteri I5007
lru	Lactobacillus reuteri SD2112
lsa	Lactobacillus sakei
lsg	Listeria seeligeri
lsi	Lactobacillus salivarius CECT 5713
lsj	Lactobacillus salivarius JCM1046
lsl	Lactobacillus salivarius UCC118
lsn	Lactobacillus sanfranciscensis
lso	Candidatus Liberibacter solanacearum
lsp	Lysinibacillus sphaericus
lth	Lachancea thermotolerans
lve	Lipotes vexillifer (Yangtze River dolphin)
lwe	Listeria welshimeri
lxx	Leifsonia xyli subsp. xyli CTCB07
lxy	Leifsonia xyli subsp. cynodontis DSM 46306
maa	Mycoplasma agalactiae PG2
mab	Mycobacterium abscessus ATCC 19977
mabb	Mycobacterium abscessus subsp. bolletii 50594
mabl	Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300
mabo	Mycobacterium abscessus subsp. bolletii MC1518
mac	Methanosarcina acetivorans
mad	Marinobacter adhaerens
mae	Methanococcus aeolicus
maf	Mycobacterium africanum
mag	Magnetospirillum magneticum
mah	Methylomicrobium alcaliphilum
mai	Micavibrio aeruginosavorus ARL-13
maj	Metarhizium robertsii
mak	Mycobacterium abscessus subsp. abcessus MM1513
mal	Mycoplasma agalactiae 5632
mam	Mesorhizobium australicum
man	Micavibrio aeruginosavorus EPB
mao	Mycobacterium avium subsp. paratuberculosis MAP4
maq	Marinobacter hydrocarbonoclasticus VT8
mar	Microcystis aeruginosa
mas	Mahella australiensis
mat	Mycoplasma arthritidis
mau	Micromonospora aurantiaca
mav	Mycobacterium avium 104
mava	Mycobacterium avium subsp. avium 2285 (S)
mavd	Mycobacterium avium subsp. avium DJO-44271
mavr	Mycobacterium avium 2285 (R)
maw	Metarhizium acridum
max	Candidatus Methanomethylophilus alvus
may	Mycobacterium abscessus subsp. bolletii MA 1948
maz	Mycobacterium abscessus 103
mba	Methanosarcina barkeri
mbb	Mycobacterium bovis BCG Pasteur 1173P2
mbc	Mycoplasma bovoculi
mbe	Marssonina brunnea
mbg	Methanoculleus bourgensis
mbh	Mycoplasma bovis Hubei-1
mbi	Mycoplasma bovis HB0801
mbj	Mollicutes bacterium
mbk	Mycobacterium bovis BCG Korea 1168P
mbm	Mycobacterium bovis BCG Mexico
mbn	Methanoregula boonei
mbo	Mycobacterium bovis AF2122/97
mbq	Mycoplasma bovis CQ-W70
mbr	Monosiga brevicollis
mbs	Marinobacter sp. BSs20148
mbt	Mycobacterium bovis BCG Tokyo 172
mbu	Methanococcoides burtonii
mbv	Mycoplasma bovis PG45
mbz	Mycobacterium bovis ATCC BAA-935
mca	Methylococcus capsulatus
mcan	Mycoplasma canadense
mcat	Moraxella catarrhalis 25239
mcb	Mycobacterium chubuense
mcc	Macaca mulatta (rhesus monkey)
mcd	Mycoplasma crocodyli
mce	Mycobacterium canettii CIPT 140010059
mcf	Macaca fascicularis (crab-eating macaque)
mcg	Methyloceanibacter caenitepidi
mch	Methylobacterium extorquens CM4
mci	Mesorhizobium ciceri
mcj	Methanosaeta concilii
mcl	Macrococcus caseolyticus
mcm	Mycoplasma californicum HAZ160_1
mcn	Metallosphaera cuprina
mco	Mycoplasma conjunctivae
mcp	Mycoplasma capricolum
mcq	Mycobacterium canettii CIPT 140060008
mcr	Mycoplasma californicum ST-6
mcs	Moraxella catarrhalis 25240
mct	Moraxella catarrhalis RH4
mcu	Mobiluncus curtisii
mcv	Mycobacterium canettii CIPT 140070008
mcx	Mycobacterium canettii CIPT 140070010
mcy	Mycoplasma cynos
mcz	Mycobacterium canettii CIPT 140070017
mde	Musca domestica (house fly)
mdi	Methylobacterium extorquens DM4
mdm	Malus domestica (apple)
mdo	Monodelphis domestica (opossum)
mea	Methylobacterium extorquens AM1
mear	Candidatus Methanoplasma termitum
meb	Methanobrevibacter sp. AbM4
mec	Methylophaga frappieri
med	Megasphaera elsdenii
meh	Methylotenera versatilis
mei	Methylovorus glucosetrophus
mej	Methylophaga nitratireducenticrescens
mel	Methanobacterium lacus
mem	Methanoculleus marisnigri
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
mep	Methylovorus sp. MP688
mer	Methanomassiliicoccus sp. Mx1-Issoire
mes	Chelativorans sp. BNC1
met	Methylobacterium sp. 4-46
meth	Methanobacterium sp. MB1
mev	Methanohalobium evestigatum
mew	Methanobacterium sp. SWAN-1
mex	Methylobacterium extorquens PA1
mez	Methanocella conradii
mfa	Methylobacillus flagellatus
mfc	Methanobacterium formicicum
mfe	Methanocaldococcus fervens
mfl	Mesoplasma florum L1
mfm	Mycoplasma fermentans M64
mfo	Methanoregula formicica
mfp	Mycoplasma fermentans PG18
mfq	Mycoplasma flocculare
mfr	Mycoplasma fermentans JER
mfs	Methanocaldococcus sp. FS406-22
mfu	Myxococcus fulvus
mfv	Methanothermus fervidus
mfw	Mesoplasma florum W37
mga	Mycoplasma gallisepticum R(low)
mgac	Mycoplasma gallisepticum CA06_2006.052-5-2P
mgan	Mycoplasma gallisepticum NC08_2008.031-4-3P
mgc	Mycoplasma genitalium M2321
mge	Mycoplasma genitalium G37
mgf	Mycoplasma gallisepticum F
mgh	Mycoplasma gallisepticum R(high)
mgi	Mycobacterium gilvum PYR-GCK
mgj	Candidatus Mycoplasma girerdii
mgl	Malassezia globosa
mgm	Magnetococcus marinus
mgn	Mycoplasma gallisepticum NC06_2006.080-5-2P
mgnc	Mycoplasma gallisepticum NC96_1596-4-2P
mgp	Meleagris gallopavo (turkey)
mgq	Mycoplasma genitalium M6282
mgr	Magnaporthe oryzae
mgs	Mycoplasma gallisepticum NC95_13295-2-2P
mgt	Mycoplasma gallisepticum NY01_2001.047-5-1P
mgu	Mycoplasma genitalium M2288
mgv	Mycoplasma gallisepticum VA94_7994-1-7P
mgw	Mycoplasma gallisepticum WI01_2001.043-13-2P
mgx	Mycoplasma genitalium M6320
mgy	Magnetospirillum gryphiswaldense
mgz	Mycoplasma gallisepticum S6
mha	Mycoplasma haemofelis Langford 1
mhae	Mannheimia haemolytica D153
mhal	Mannheimia haemolytica USMARC_2286
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhb	Candidatus Mycoplasma haemominutum
mhc	Marinobacter hydrocarbonoclasticus ATCC 49840
mhd	Marinithermus hydrothermalis
mhe	Mycoplasma haemocanis
mhf	Mycoplasma haemofelis Ohio2
mhg	Megamonas hypermegale
mhh	Mycoplasma hyorhinis GDL-1
mhi	Methanosaeta harundinacea
mhj	Mycoplasma hyopneumoniae J
mhl	Candidatus Mycoplasma haemolamae
mhm	Mycoplasma hyorhinis MCLD
mhn	Mycoplasma hyopneumoniae 168
mho	Mycoplasma hominis ATCC 23114
mhom	Mycoplasma hominis ATCC 27545
mhp	Mycoplasma hyopneumoniae 7448
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhr	Mycoplasma hyorhinis HUB-1
mhs	Mycoplasma hyorhinis SK76
mht	Mannheimia haemolytica USDA-ARS-SAM-185
mhu	Methanospirillum hungatei
mhv	Mycoplasma hyorhinis DBS 1050
mhx	Mannheimia haemolytica M42548
mhy	Mycoplasma hyopneumoniae 232
mhyl	Mycoplasma hyopneumoniae 168-L
mhyo	Mycoplasma hyopneumoniae 7422
mhz	Methanomethylovorans hollandica
mia	Mycobacterium intracellulare ATCC 13950
mic	Microcoleus sp. PCC 7113
mid	Mycobacterium indicus pranii
mie	Mycobacterium intracellulare 1956
mif	Methanocaldococcus infernus
mig	Methanotorris igneus
mil	Micromonospora sp. L5
min	Methylacidiphilum infernorum
mir	Mycobacterium intracellulare MOTT-64
mis	Micromonas sp. RCC299
mit	Mycobacterium intracellulare MOTT-02
mja	Methanocaldococcus jannaschii
mjd	Mycobacterium sp. JDM601
mjh	Methanocaldococcus sp. JH146
mjl	Mycobacterium sp. JLS
mka	Methanopyrus kandleri
mki	Mycobacterium kansasii 824
mkm	Mycobacterium sp. KMS
mkn	Mycobacterium kansasii ATCC 12478
mks	Mycobacterium kansasii 662
mla	Methanocorpusculum labreanum
mlb	Mycobacterium leprae Br4923
